t,lat,lon,el
1687601633.000000,-12.772543,45.287771,21.814000
1687601634.000000,-12.772544,45.287771,21.827000
1687601635.000000,-12.772544,45.287771,21.829000
1687601636.000000,-12.772544,45.287771,21.825000
1687601637.000000,-12.772545,45.287771,21.827000
1687601638.000000,-12.772545,45.287771,21.827000
1687601639.000000,-12.772545,45.287772,21.829000
1687601640.000000,-12.772545,45.287771,21.825000
1687601641.000000,-12.772545,45.287772,21.833000
1687601642.000000,-12.772545,45.287772,21.826000
1687601643.000000,-12.772545,45.287772,21.822000
1687601644.000000,-12.772545,45.287772,21.816000
1687601645.000000,-12.772545,45.287772,21.810000
1687601646.000000,-12.772545,45.287773,21.816000
1687601647.000000,-12.772545,45.287773,21.818000
1687601648.000000,-12.772546,45.287773,21.811000
1687601649.000000,-12.772546,45.287772,21.814000
1687601650.000000,-12.772547,45.287772,21.820000
1687601651.000000,-12.772548,45.287773,21.825000
1687601652.000000,-12.772548,45.287773,21.831000
1687601653.000000,-12.772548,45.287773,21.834000
1687601654.000000,-12.772547,45.287773,21.832000
1687601655.000000,-12.772547,45.287774,21.822000
1687601656.000000,-12.772546,45.287774,21.826000
1687601657.000000,-12.772546,45.287774,21.828000
1687601658.000000,-12.772546,45.287774,21.822000
1687601659.000000,-12.772546,45.287775,21.816000
1687601660.000000,-12.772547,45.287775,21.818000
1687601661.000000,-12.772547,45.287776,21.819000
1687601662.000000,-12.772547,45.287776,21.820000
1687601663.000000,-12.772547,45.287776,21.822000
1687601664.000000,-12.772546,45.287777,21.822000
1687601665.000000,-12.772546,45.287777,21.806000
1687601666.000000,-12.772545,45.287776,21.811000
1687601667.000000,-12.772545,45.287776,21.814000
1687601668.000000,-12.772545,45.287776,21.805000
1687601669.000000,-12.772545,45.287776,21.803000
1687601670.000000,-12.772545,45.287776,21.810000
1687601671.000000,-12.772545,45.287776,21.793000
1687601672.000000,-12.772545,45.287776,21.803000
1687601673.000000,-12.772544,45.287776,21.809000
1687601674.000000,-12.772544,45.287776,21.810000
1687601675.000000,-12.772544,45.287775,21.806000
1687601676.000000,-12.772544,45.287775,21.808000
1687601677.000000,-12.772544,45.287775,21.804000
1687601678.000000,-12.772544,45.287775,21.808000
1687601679.000000,-12.772544,45.287775,21.806000
1687601680.000000,-12.772545,45.287775,21.793000
1687601681.000000,-12.772545,45.287775,21.790000
1687601682.000000,-12.772544,45.287775,21.793000
1687601683.000000,-12.772544,45.287775,21.800000
1687601684.000000,-12.772544,45.287774,21.803000
1687601685.000000,-12.772545,45.287774,21.788000
1687601686.000000,-12.772545,45.287774,21.793000
1687601687.000000,-12.772545,45.287774,21.787000
1687601688.000000,-12.772545,45.287774,21.791000
1687601689.000000,-12.772545,45.287773,21.785000
1687601690.000000,-12.772546,45.287773,21.796000
1687601691.000000,-12.772547,45.287774,21.796000
1687601692.000000,-12.772548,45.287774,21.804000
1687601693.000000,-12.772547,45.287774,21.794000
1687601694.000000,-12.772547,45.287774,21.801000
1687601695.000000,-12.772547,45.287775,21.802000
1687601696.000000,-12.772547,45.287775,21.790000
1687601697.000000,-12.772548,45.287775,21.782000
1687601698.000000,-12.772549,45.287775,21.788000
1687601699.000000,-12.772550,45.287774,21.792000
1687601700.000000,-12.772550,45.287774,21.791000
1687601701.000000,-12.772551,45.287774,21.782000
1687601702.000000,-12.772552,45.287774,21.784000
1687601703.000000,-12.772553,45.287774,21.783000
1687601704.000000,-12.772553,45.287774,21.787000
1687601705.000000,-12.772554,45.287774,21.787000
1687601706.000000,-12.772554,45.287774,21.785000
1687601707.000000,-12.772553,45.287776,21.781000
1687601708.000000,-12.772553,45.287777,21.791000
1687601709.000000,-12.772553,45.287778,21.791000
1687601710.000000,-12.772554,45.287779,21.799000
1687601711.000000,-12.772554,45.287778,21.806000
1687601712.000000,-12.772554,45.287778,21.810000
1687601713.000000,-12.772555,45.287777,21.809000
1687601714.000000,-12.772556,45.287777,21.786000
1687601715.000000,-12.772556,45.287777,21.802000
1687601716.000000,-12.772556,45.287777,21.791000
1687601717.000000,-12.772555,45.287777,21.801000
1687601718.000000,-12.772554,45.287777,21.806000
1687601719.000000,-12.772554,45.287778,21.803000
