t,d
1687607492.273946,34.540000
1687607492.273946,34.540000
1687607492.273946,34.540000
1687607510.677786,0.410000
1687607510.677786,0.410000
1687607510.677786,0.410000
1687607519.600549,0.370000
1687607519.600549,0.370000
1687607519.600549,0.370000
1687607521.272997,0.390000
1687607521.272997,0.390000
1687607521.272997,0.390000
1687607521.831299,0.380000
1687607521.831299,0.380000
1687607521.831299,0.380000
1687607536.887917,0.370000
1687607536.887917,0.370000
1687607536.887917,0.370000
1687607537.44619,0.360000
1687607537.44619,0.360000
1687607537.44619,0.360000
1687607538.003473,0.340000
1687607538.003473,0.340000
1687607538.003473,0.340000
1687607538.56166,0.340000
1687607538.56166,0.340000
1687607538.56166,0.340000
1687607539.118782,0.350000
1687607539.118782,0.350000
1687607539.118782,0.350000
1687607539.677186,0.350000
1687607539.677186,0.350000
1687607539.677186,0.350000
1687607540.234194,0.340000
1687607540.234194,0.340000
1687607540.234194,0.340000
1687607540.792522,0.350000
1687607540.792522,0.350000
1687607540.792522,0.350000
1687607541.349665,0.340000
1687607541.349665,0.340000
1687607541.349665,0.340000
1687607541.907937,0.350000
1687607541.907937,0.350000
1687607541.907937,0.350000
1687607542.465069,0.340000
1687607542.465069,0.340000
1687607542.465069,0.340000
1687607543.023288,0.330000
1687607543.023288,0.330000
1687607543.023288,0.330000
1687607543.580433,0.340000
1687607543.580433,0.340000
1687607543.580433,0.340000
1687607544.138783,0.340000
1687607544.138783,0.340000
1687607544.138783,0.340000
1687607544.695894,0.340000
1687607544.695894,0.340000
1687607544.695894,0.340000
1687607545.254176,0.330000
1687607545.254176,0.330000
1687607545.254176,0.330000
1687607545.811248,0.340000
1687607545.811248,0.340000
1687607545.811248,0.340000
1687607546.369553,0.340000
1687607546.369553,0.340000
1687607546.369553,0.340000
1687607546.926689,0.340000
1687607546.926689,0.340000
1687607546.926689,0.340000
1687607547.485023,0.330000
1687607547.485023,0.330000
1687607547.485023,0.330000
1687607548.042054,0.370000
1687607548.042054,0.370000
1687607548.042054,0.370000
1687607548.6004,0.340000
1687607548.6004,0.340000
1687607548.6004,0.340000
1687607549.15754,0.340000
1687607549.15754,0.340000
1687607549.15754,0.340000
1687607549.715776,0.340000
1687607549.715776,0.340000
1687607549.715776,0.340000
1687607550.272931,0.340000
1687607550.272931,0.340000
1687607550.272931,0.340000
1687607550.831281,0.350000
1687607550.831281,0.350000
1687607550.831281,0.350000
1687607551.388191,0.360000
1687607551.388191,0.360000
1687607551.388191,0.360000
1687607551.946661,0.340000
1687607551.946661,0.340000
1687607551.946661,0.340000
1687607552.503809,0.360000
1687607552.503809,0.360000
1687607552.503809,0.360000
1687607553.062053,0.360000
1687607553.062053,0.360000
1687607553.062053,0.360000
1687607553.619179,0.340000
1687607553.619179,0.340000
1687607553.619179,0.340000
1687607554.177523,0.350000
1687607554.177523,0.350000
1687607554.177523,0.350000
1687607554.734572,0.340000
1687607554.734572,0.340000
1687607554.734572,0.340000
1687607555.292901,0.330000
1687607555.292901,0.330000
1687607555.292901,0.330000
1687607555.85002,0.350000
1687607555.85002,0.350000
1687607555.85002,0.350000
1687607556.408272,0.370000
1687607556.408272,0.370000
1687607556.408272,0.370000
1687607556.965425,0.340000
1687607556.965425,0.340000
1687607556.965425,0.340000
1687607557.523652,0.350000
1687607557.523652,0.350000
1687607557.523652,0.350000
1687607558.080804,0.350000
1687607558.080804,0.350000
1687607558.080804,0.350000
1687607558.639148,0.340000
1687607558.639148,0.340000
1687607558.639148,0.340000
1687607559.196171,0.330000
1687607559.196171,0.330000
1687607559.196171,0.330000
1687607559.754559,0.340000
1687607559.754559,0.340000
1687607559.754559,0.340000
1687607560.311625,0.360000
1687607560.311625,0.360000
1687607560.311625,0.360000
1687607560.869944,0.350000
1687607560.869944,0.350000
1687607560.869944,0.350000
1687607561.427065,0.350000
1687607561.427065,0.350000
1687607561.427065,0.350000
1687607561.985405,0.350000
1687607561.985405,0.350000
1687607561.985405,0.350000
1687607562.542401,0.340000
1687607562.542401,0.340000
1687607562.542401,0.340000
1687607563.10078,0.340000
1687607563.10078,0.340000
1687607563.10078,0.340000
1687607563.657887,0.340000
1687607563.657887,0.340000
1687607563.657887,0.340000
1687607564.216189,0.340000
1687607564.216189,0.340000
1687607564.216189,0.340000
1687607564.773303,0.340000
1687607564.773303,0.340000
1687607564.773303,0.340000
1687607565.331649,0.350000
1687607565.331649,0.350000
1687607565.331649,0.350000
1687607565.888659,0.330000
1687607565.888659,0.330000
1687607565.888659,0.330000
1687607566.447069,0.350000
1687607566.447069,0.350000
1687607566.447069,0.350000
1687607567.004144,0.370000
1687607567.004144,0.370000
1687607567.004144,0.370000
1687607567.562434,0.340000
1687607567.562434,0.340000
1687607567.562434,0.340000
1687607568.119633,0.350000
1687607568.119633,0.350000
1687607568.119633,0.350000
1687607568.677817,0.330000
1687607568.677817,0.330000
1687607568.677817,0.330000
1687607569.234934,0.340000
